Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9.370000,9.370000,9.370000,9.370000,6.697541,0
2014-01-03,9.370000,9.370000,9.370000,9.370000,6.697541,0
2014-01-06,9.380000,9.380000,9.380000,9.380000,6.704688,0
2014-01-07,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-08,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-09,9.390000,9.390000,9.390000,9.390000,6.711836,0
2014-01-10,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-13,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-14,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-15,9.420000,9.420000,9.420000,9.420000,6.733280,0
2014-01-16,9.430000,9.430000,9.430000,9.430000,6.740424,0
2014-01-17,9.430000,9.430000,9.430000,9.430000,6.740424,0
2014-01-21,9.440000,9.440000,9.440000,9.440000,6.747571,0
2014-01-22,9.440000,9.440000,9.440000,9.440000,6.747571,0
2014-01-23,9.430000,9.430000,9.430000,9.430000,6.740424,0
2014-01-24,9.400000,9.400000,9.400000,9.400000,6.718981,0
2014-01-27,9.380000,9.380000,9.380000,9.380000,6.704688,0
2014-01-28,9.380000,9.380000,9.380000,9.380000,6.704688,0
2014-01-29,9.370000,9.370000,9.370000,9.370000,6.697541,0
2014-01-30,9.380000,9.380000,9.380000,9.380000,6.704688,0
2014-01-31,9.370000,9.370000,9.370000,9.370000,6.728384,0
2014-02-03,9.360000,9.360000,9.360000,9.360000,6.721203,0
2014-02-04,9.350000,9.350000,9.350000,9.350000,6.714021,0
2014-02-05,9.350000,9.350000,9.350000,9.350000,6.714021,0
2014-02-06,9.360000,9.360000,9.360000,9.360000,6.721203,0
2014-02-07,9.380000,9.380000,9.380000,9.380000,6.735566,0
2014-02-10,9.390000,9.390000,9.390000,9.390000,6.742745,0
2014-02-11,9.400000,9.400000,9.400000,9.400000,6.749924,0
2014-02-12,9.410000,9.410000,9.410000,9.410000,6.757107,0
2014-02-13,9.410000,9.410000,9.410000,9.410000,6.757107,0
2014-02-14,9.420000,9.420000,9.420000,9.420000,6.764288,0
2014-02-18,9.430000,9.430000,9.430000,9.430000,6.771464,0
2014-02-19,9.440000,9.440000,9.440000,9.440000,6.778647,0
2014-02-20,9.450000,9.450000,9.450000,9.450000,6.785829,0
2014-02-21,9.450000,9.450000,9.450000,9.450000,6.785829,0
2014-02-24,9.470000,9.470000,9.470000,9.470000,6.800190,0
2014-02-25,9.480000,9.480000,9.480000,9.480000,6.807373,0
2014-02-26,9.480000,9.480000,9.480000,9.480000,6.807373,0
2014-02-27,9.490000,9.490000,9.490000,9.490000,6.814554,0
2014-02-28,9.500000,9.500000,9.500000,9.500000,6.849883,0
2014-03-03,9.480000,9.480000,9.480000,9.480000,6.835463,0
2014-03-04,9.490000,9.490000,9.490000,9.490000,6.842673,0
2014-03-05,9.490000,9.490000,9.490000,9.490000,6.842673,0
2014-03-06,9.490000,9.490000,9.490000,9.490000,6.842673,0
2014-03-07,9.470000,9.470000,9.470000,9.470000,6.828257,0
2014-03-10,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-11,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-12,9.450000,9.450000,9.450000,9.450000,6.813832,0
2014-03-13,9.450000,9.450000,9.450000,9.450000,6.813832,0
2014-03-14,9.440000,9.440000,9.440000,9.440000,6.806620,0
2014-03-17,9.440000,9.440000,9.440000,9.440000,6.806620,0
2014-03-18,9.450000,9.450000,9.450000,9.450000,6.813832,0
2014-03-19,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-20,9.450000,9.450000,9.450000,9.450000,6.813832,0
2014-03-21,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-24,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-25,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-26,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-27,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-28,9.460000,9.460000,9.460000,9.460000,6.821039,0
2014-03-31,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-01,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-02,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-03,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-04,9.480000,9.480000,9.480000,9.480000,6.865944,0
2014-04-07,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-08,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-09,9.470000,9.470000,9.470000,9.470000,6.858703,0
2014-04-10,9.480000,9.480000,9.480000,9.480000,6.865944,0
2014-04-11,9.460000,9.460000,9.460000,9.460000,6.851459,0
2014-04-14,9.460000,9.460000,9.460000,9.460000,6.851459,0
2014-04-15,9.460000,9.460000,9.460000,9.460000,6.851459,0
2014-04-16,9.460000,9.460000,9.460000,9.460000,6.851459,0
2014-04-17,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-21,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-22,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-23,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-24,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-25,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-28,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-29,9.450000,9.450000,9.450000,9.450000,6.844219,0
2014-04-30,9.450000,9.450000,9.450000,9.450000,6.873312,0
2014-05-01,9.460000,9.460000,9.460000,9.460000,6.880584,0
2014-05-02,9.460000,9.460000,9.460000,9.460000,6.880584,0
2014-05-05,9.460000,9.460000,9.460000,9.460000,6.880584,0
2014-05-06,9.460000,9.460000,9.460000,9.460000,6.880584,0
2014-05-07,9.460000,9.460000,9.460000,9.460000,6.880584,0
2014-05-08,9.470000,9.470000,9.470000,9.470000,6.887859,0
2014-05-09,9.470000,9.470000,9.470000,9.470000,6.887859,0
2014-05-12,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-13,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-14,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-15,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-16,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-19,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-20,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-21,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-22,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-23,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-27,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-28,9.480000,9.480000,9.480000,9.480000,6.895130,0
2014-05-29,9.490000,9.490000,9.490000,9.490000,6.902402,0
2014-05-30,9.490000,9.490000,9.490000,9.490000,6.932353,0
2014-06-02,9.500000,9.500000,9.500000,9.500000,6.939660,0
2014-06-03,9.490000,9.490000,9.490000,9.490000,6.932353,0
